state,county,days_counted,case_count_28_days,death_count_28_days,confirmed_infection_perc,death_perc,avg_daily_case_increase_perc,case_count_28_days_perc,death_count_28_days_perc,presence_of_water_violation,state_house_blue_perc,a,b,c,d,e,f,g,h,x,y,z,political_affiation
Alabama,Autauga,45,61,3,0.1227758333180627,5.970149253731343,0.002728351851512505,0.11178098257316156,4.918032786885246,f,22.86,0.3606150409999233,-0.08259366318541142,-0.06743707889772423,-1.0636705949526502,-0.8165651864799521,0.2928947321689944,-0.5875466874241667,-1.055161937742916,0.9007367117228388,0.5254392439279145,0.7488004042975644,red
Alabama,Baldwin,55,168,3,0.11411955120291885,2.403846153846154,0.0020749009309621604,0.09217348366389597,1.7857142857142856,f,22.86,0.022537825364603862,0.28785789475827417,-1.11164455548497,-0.0060257108945466825,0.6150208186603238,0.805596199702497,-0.18476134642771272,1.4137434712290304,0.32711913919901936,0.9405878488577237,-2.373085933649223,red
Alabama,Calhoun,51,93,3,0.1037344398340249,2.4390243902439024,0.0020340086241965667,0.07843335694767736,3.2258064516129035,f,22.86,1.5173069324577757,0.24909651539799438,-1.0995120316301756,0.6186946110695017,1.295019920931851,1.0406067609418952,-0.3699329990336658,1.9134051986430156,1.2682606460672818,1.5450087117436861,-1.1660297879543091,red
Alabama,Chambers,50,294,21,0.9089580593307028,6.752411575562703,0.018179161186614057,0.8592722490135905,7.142857142857142,f,22.86,1.4680679081504124,0.3911959133327463,-0.8121903182583549,-0.4092309998482136,1.3671698123404104,0.36695438465621294,1.2453933009826068,0.8636226165097871,0.22199769940004355,0.6583883505099524,-1.0750720291220468,red
Alabama,Cullman,49,58,0,0.07710867348207845,0.0,0.0015736463975934375,0.07213392035420242,0.0,f,22.86,0.9880659809073721,-0.7549263123437583,-0.7699440753148489,0.30689353915368023,1.2511365415908937,0.21270245414277003,-1.527592618329529,-1.1119527753791103,0.8438386026758783,0.2642643732107935,-0.6467522913349998,red
Alabama,Elmore,56,79,1,0.16392822465732695,3.0769230769230766,0.002927289726023696,0.09961792113791408,1.2658227848101269,f,22.86,0.3592501796863051,-0.7581557396998629,-0.05497211729737961,-1.318496702397442,-1.5762315274351135,0.9517348863858882,0.34235299138666164,-0.21652381611063068,0.6567427253001673,-0.16138879216592783,-0.17879577697722607,red
Alabama,Franklin,46,164,1,0.6371435780974011,0.4950495049504951,0.013850947349943498,0.517284885187989,0.6097560975609756,f,22.86,1.4993855075794076,-0.7937553692033816,0.9994778094837734,0.04434731343056362,1.456999191828156,0.06810691379826322,-1.5278739658169913,-0.22413556410550767,0.6721173127080381,0.8555761334927702,0.28160248373060665,red
Alabama,Houston,46,99,4,0.10044609885077843,3.92156862745098,0.00218361084458214,0.09749180182575556,4.040404040404041,f,22.86,0.7222578666849842,-0.36491729639774495,0.12462784025209146,1.1713345297574056,0.20600130893062302,-0.8304769084012039,0.22979222177988154,-2.5200276556720094,0.5598430269111216,0.41008508419298956,1.1576431735494481,red
Alabama,Jackson,49,50,2,0.11084599921092678,3.3898305084745757,0.002262163249202587,0.0939372874668871,4.0,f,22.86,1.2150724992191697,-1.1808742642769345,0.44585267683089413,0.2970531704815168,1.6336729829070826,-1.1294969089602203,-2.23894550977844,-1.4001493633292568,1.4485972829760132,-0.05826826812938393,2.348876272215208,red
Alabama,Jefferson,56,839,33,0.1661437340728299,5.393053016453382,0.002966852394157677,0.12741736095713369,3.9332538736591176,f,22.86,0.7861877343626169,0.4900947860089121,-0.4845309712833352,1.4947843805939418,-0.494312918349922,0.06470607110500225,1.4078569646091714,-0.889194884140915,1.0581762827556929,0.8132290277633929,0.7733757171038288,red
Alabama,Lauderdale,49,61,2,0.09384202181018024,2.2988505747126435,0.0019151433022485762,0.06579727966001142,3.278688524590164,f,22.86,0.6550759215881342,0.2002606480437791,-1.2205276154662388,0.4639061026783384,1.4185217521820839,0.4521709686072352,-0.8773281806828086,0.7140085602895857,0.4478734798633513,1.3124165472833196,-1.2742357294003892,red
Alabama,Lee,54,377,25,0.2987586187226821,7.1599045346062065,0.0055325670133830026,0.2688114540774491,6.631299734748012,t,22.86,0.4351216991266468,2.4626488809545997,-2.0816594602764846,-1.1605288254036663,1.4424413886997638,2.0366177835188397,-0.6510509448684896,1.100664291645453,-0.3728536486067691,1.2728926640440599,-2.1485815442123735,red
Alabama,Limestone,56,41,0,0.06643956415645913,0.0,0.001186420788508199,0.04952767509845135,0.0,f,22.86,0.10518918820674826,-0.5896544771227555,-0.16113142149313908,-0.9071082862026999,0.5806869229737892,0.7992991173819667,-0.3190818108817462,0.534240009565394,1.1627807956901683,0.8618236627244142,-0.4759635695339331,red
Alabama,Madison,52,227,4,0.07287693654031678,1.639344262295082,0.0014014795488522455,0.0677994450600488,1.7621145374449338,f,22.86,-0.13801989809892445,-0.5031654485063497,0.14648012481358258,0.9664063235941737,0.4024789328280227,0.042252319773689116,0.2838963285843271,-1.1484018536219356,1.1460287174434496,0.8829991655450355,1.294650297005924,red
Alabama,Marion,48,85,6,0.3086820899402131,7.368421052631577,0.00643087687375444,0.27618923836755915,7.0588235294117645,t,22.86,1.3938552253859826,-0.5731032204313999,-0.847534125572839,-0.31306577431234806,0.7564611259762811,-0.13155326540404574,-1.4381413590463372,-0.4501202350461529,0.6319320668299957,0.21220772363424106,-0.3575302564319089,red
